Username,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Total | 103209
17137140,,,,,,,,,0
17812274,3,,3,2,0,,,,8
17103800,8,6,2,8,4,,,,28
15093442,8,6,2,7,,,,,23
17242279,7,6,3,4,4,4,6,1,35
15226192,6,7,2,7,1,4,3,4,34
17423830,3,4,4,7,1,4,5,,28
17689117,7,6,2,8,7,4,6,5,45
17305932,6,4,2,7,5,4,5,,33
17346867,1,8,4,5,3,4,5,,30
17249137,6,4,2,5,4,3,5,,29
17235437,7,8,2,7,3,4,7,6,44
16582428,1,6,2,6,2,4,3,,24
17028400,7,8,4,,4,2,7,,32
17110538,6,4,4,3,1,3,5,,26
16738502,7,6,4,6,,3,3,,29
17225465,6,6,4,3,5,3,8,1,36
17413549,7,7,2,6,6,5,5,3,41
17268019,5,5,2,,5,0,1,2,20
17494322,5,4,0,8,2,4,1,,24
17814603,7,7,2,8,4,3,7,,38
17189851,6,8,2,,2,4,1,,23
17240244,7,6,2,,3,4,4,,26
17243360,6,6,2,4,3,4,4,2,31
16523803,8,8,2,7,4,3,6,,38
17517368,6,2,4,7,2,3,7,1,32
17580250,1,4,2,,1,4,,2,14
17325019,2,8,4,2,6,4,7,0,33
17576941,7,7,2,8,5,2,1,,32
17434690,6,4,2,6,1,4,8,,31
17071244,4,4,2,3,1,3,1,,18
17302249,6,4,2,8,4,3,5,,32
17791061,3,4,4,2,2,0,1,3,19
17817921,1,2,1,,0,,1,,5
17305903,6,8,2,7,4,3,1,,31
17282853,3,6,1,,0,0,0,1,11
17218955,8,6,2,8,4,3,6,,37
17526757,7,8,2,4,2,4,1,1,29
17226530,5,4,2,6,0,3,6,1,27
17466615,8,8,2,7,1,3,4,0,33
17263942,4,8,2,6,4,2,,1,27
17442305,7,8,3,8,4,5,7,6,48
17457907,6,6,2,6,5,4,7,2,38
17542047,5,8,,3,2,,1,1,20
13341145,6,2,0,2,0,2,0,,12
17259822,2,4,2,3,0,2,6,,19
17072090,3,4,2,4,0,3,2,2,20
,,,,,,,,,0
17535683,7,2,2,,1,2,0,1,15
17641959,7,6,2,8,2,,3,3,31
16726068,7,6,2,8,4,4,8,1,40
17479439,6,6,2,6,5,1,6,,32
17053280,6,4,4,,4,4,3,,25
17224996,1,4,3,6,4,4,2,1,25
17071651,6,8,2,5,5,3,5,1,35
17482237,7,6,2,7,3,4,7,6,42
17236775,8,8,2,6,4,4,5,,37
16567724,8,2,2,5,3,4,2,,26
17228350,7,7,2,,0,4,1,,21
17513337,6,8,2,7,6,4,,,33
17038414,6,7,4,7,4,4,3,,35
17271455,7,6,2,4,1,6,5,,31
17497998,7,8,2,8,0,2,6,1,34
17062376,6,8,2,1,7,1,,,25
17437471,7,4,2,6,0,2,8,,29
17236339,6,7,2,7,1,3,4,1,31
17578569,6,2,2,8,4,1,4,,27
17224824,7,4,2,5,2,4,8,,32
97050719,2,7,2,7,5,0,1,6,30
17256054,8,6,2,4,3,3,5,6,37
17577928,6,4,2,3,4,2,8,2,31
17539308,0,6,2,6,4,4,1,3,26
17805432,6,6,2,7,6,4,5,1,37
17250405,6,4,4,8,1,4,5,,32
17486213,6,6,2,8,2,6,0,,30
17483953,6,4,2,5,1,2,5,1,26
17465364,7,5,2,8,3,6,8,6,45
17504270,2,4,2,3,2,2,2,1,18
